,노트북 이름,가격,노트북유형,운영체제,화면정보,CPU,램,그래픽,저장장치,네트워크,영상입출력,단자,부가기능,입력장치,파워,주요제원,리퍼비시
69,Razer Blade 18 13Gen R4090 QHD,"6,590,000",노트북,윈도우11홈,45.72cm(18인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13950HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:32GB/5600MHz/ 램 교체: 가능 /,외장그래픽 /RTX4090/TGP:175W/VRAM:16GB/,M.2(NVMe)/2TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜: 2.5기가비트 /,HDMI 2.1/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 3개 / SD카드 /,얼굴 인식/TPM/USB-PD/,RGB 라이트/ㅡ형 방향키/,배터리:91.7Wh/어댑터:330W/충전단자:전용포트/,두께:21.99mm/무게:3.2kg/ 쿨링팬: 3개 / 색상: 블랙,
70,ASUS 젠북 14X OLED UX3404VA-M9093,"1,449,000",노트북,미포함(프리도스),36.8cm(14.5인치)/2880x1800(WQXGA+)/600nit/주사율:120Hz/,인텔/코어i5-13세대/i5-13500H (2.6GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 1개 /,얼굴 인식/고속충전/USB-PD/DP Alt Mode/MIL-STD/,키보드 라이트/ㅗ형 방향키/,배터리:70Wh/어댑터:90W/충전단자:타입C/,두께:16.9mm/무게:1.56kg/ 쿨링팬: 1개 / 색상: 베이지,
71,MSI GP시리즈 Vector GP76 12UGS QHD,"2,640,000",노트북,미포함(프리도스),43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:65Wh/어댑터:280W/충전단자:DC/,두께:25.9mm/무게:2.9kg/ 색상: 블랙,
72,한성컴퓨터 올데이롱 TFX4270H,"1,148,990",노트북,미포함(프리도스),35.56cm(14인치)/1920x1200(WUXGA)/300nit/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/500GB/저장 슬롯:1개/,무선랜:802.11ax(Wi-Fi 6)/,HDMI 2.0/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/,배터리:99.8Wh/어댑터:90W/충전단자:DC/,두께:16mm/무게:1.2kg/ 쿨링팬: 2개 / 색상: 블랙,
73,삼성전자 갤럭시북2 NT550XEZ-A58A WIN11 16GB램,"757,000",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/,인텔/코어i5-12세대/i5-1235U (1.3GHz)/10코어(2P+8E)/,DDR4/램 용량:16GB/ 램 교체: 가능 /,내장그래픽 / UHD Graphics /,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 2개 / USB-A: 2개 / MicroSD카드 /,TPM/USB-PD/,ㅗ형 방향키/숫자 키패드(3열)/,배터리:43Wh/어댑터:45W/충전단자:타입C/,"두께:18.5mm/무게:1.8kg/ 색상: 실버, 그라파이트",
74,MSI GF시리즈 Sword GF76 A11UC 블랙,"1,174,050",노트북,미포함(프리도스),43.94cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-11세대/i7-11800H (2.3GHz)/옥타(8)코어/,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:150W/충전단자:DC/,두께:25.2mm/무게:2.6kg/ 색상: 블랙,
75,MSI 브라보 15 B5ED-R7 32GB램,"1,061,140",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,AMD/라이젠7-4세대/5800H (3.2GHz)/옥타(8)코어/,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /라데온 RX 6500M/VRAM:4GB/,M.2(NVMe)/512GB/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:150W/충전단자:DC/,두께:24.95mm/무게:2.35kg/ 쿨링팬: 2개 / 색상: 블랙,
76,MSI 프레스티지 15 A12UC 4K,"1,599,000",노트북,미포함(프리도스),39.6cm(15.6인치)/3840x2160(4K UHD)/400nit/,인텔/코어i7-12세대/i7-1280P (1.8GHz)/ 14코어(6P+8E) /,LPDDR4x(온보드) /램 용량:16GB/ 램 교체: 불가능 /,외장그래픽 /RTX3050/TGP:40W/VRAM:4GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(HD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / MicroSD카드 /,얼굴 인식/지문 인식/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:82Wh/어댑터:100W/충전단자:타입C/,두께:18.9mm/무게:1.69kg/ 쿨링팬: 2개 / 색상: 그레이,
77,에이서 니트로 5 AN515-58-95P5,"1,840,000",노트북,윈도우11홈,39.62cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,인텔/코어i9-12세대/i9-12900H (2.5GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:3개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-A: 3개 /,USB-PD/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:57.5Wh/어댑터:230W/충전단자:DC/,두께:26.9mm/무게:2.5kg/ 쿨링팬: 2개 / 색상: 블랙,
78,레노버 요가 Slim7 Carbon 14ACN6 82L0004YKR,"1,240,000",노트북,미포함(프리도스),35.56cm(14인치)/2880x1800(WQXGA+)/600nit/주사율:90Hz/,AMD/라이젠7-4세대/5800U (1.9GHz)/옥타(8)코어/,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,외장그래픽 /MX450/VRAM:2GB/,M.2(NVMe)/1TB/저장 슬롯:1개/,무선랜:802.11ax(Wi-Fi 6)/,웹캠(HD)/,USB-C: 3개 /,얼굴 인식/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/MIL-STD/,키보드 라이트/ㅡ형 방향키/,배터리:61Wh/충전단자:타입C/,두께:14.9mm/무게:1.09kg/ 색상: 그레이,
79,한성컴퓨터 TFX5550UC,"583,260",노트북,미포함(프리도스),39.62cm(15.6인치)/1920x1080(FHD)/300nit/,AMD/라이젠5-4세대/5500U (2.1GHz)/헥사(6)코어/,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/250GB/저장 슬롯:1개/,무선랜:802.11ac(Wi-Fi 5)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 / MicroSD카드 /,USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:49Wh/어댑터:65W/충전단자:DC/,두께:20mm/무게:1.6kg/ 색상: 블랙,
80,MSI GF시리즈 Sword GF76 B13VEK WIN11 32GB램,"1,774,710",노트북,윈도우11(설치),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-13세대/i7-13620H (2.4GHz)/10코어(6P+4E)/,DDR5/램 용량:32GB/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/충전단자:DC/,두께:25.2mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 블랙,
81,MSI GT시리즈 Titan GT77 HX 13VI-i9 4K Mini LED W11,"6,725,890",노트북,윈도우11홈,43.9cm(17.3인치)/3840x2160(4K UHD)/1000nit/주사율:144Hz/,인텔/코어i9-13세대/i9-13980HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:64GB/ 램 교체: 가능 /,외장그래픽 /RTX4090/TGP:175W/VRAM:16GB/MUX 스위치/,M.2(NVMe)/4TB/저장 슬롯:3개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜: 2.5기가비트 /,HDMI/mini DP/웹캠(HD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 3개 / SD카드 /,얼굴 인식/지문 인식/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/,기계식 키보드/RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:99.9Wh/어댑터:330W/충전단자:전용포트/,두께:23mm/무게:3.3kg/ 쿨링팬: 4개 / 색상: 블랙,
82,에이서 니트로 5 AN515-58-94SX,"2,490,000",노트북,미포함(프리도스),39.62cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,인텔/코어i9-12세대/i9-12900H (2.5GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:3개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-A: 3개 /,USB-PD/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:57.5Wh/어댑터:230W/충전단자:DC/,두께:26.9mm/무게:2.5kg/ 쿨링팬: 2개 / 색상: 블랙,
83,MSI GF시리즈 Sword GF76 B12VEK WIN11 16GB램,"1,363,970",노트북,윈도우11(설치),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/충전단자:DC/,두께:25.2mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 블랙,
84,LG전자 2023 그램15 15ZD90R-GX56K,"1,334,840",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/350nit/,인텔/코어i5-13세대/i5-1340P (1.9GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/6000MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / MicroSD카드 /,얼굴 인식/USB-PD/DP Alt Mode/MIL-STD/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:80Wh/어댑터:65W/충전단자:타입C/,두께:17.4mm/무게:1.14kg/ 색상: 화이트,
85,MSI 모던시리즈 모던 15 B13M-i5 WIN11,"910,000",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/250nit/,인텔/코어i5-13세대/i5-1335U (1.3GHz)/10코어(2P+8E)/,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 / MicroSD카드 /,USB-PD/DP Alt Mode/ 리프트 힌지 /,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:39.3Wh/어댑터:65W/충전단자:DC/,두께:19.9mm/무게:1.7kg/ 색상: 블랙,
86,ASUS ROG STRIX G16 G614JI-N4153,"2,739,450",노트북,미포함(프리도스),40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13980HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 /,TPM/고속충전/USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:90Wh/어댑터:280W/충전단자:DC/,두께:30.4mm/무게:2.5kg/ 쿨링팬: 3개 / 색상: 그린,
87,MSI GF시리즈 Sword GF76 A12UE,"1,690,000",노트북,미포함(프리도스),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:240W/충전단자:DC/,두께:25.2mm/무게:2.6kg/ 색상: 블랙,
88,한성컴퓨터 TFX3412N,"449,820",2 in 1,미포함(프리도스),33.78cm(13.3인치)/1920x1080(FHD)/300nit/,인텔/셀러론/ N4120 (1.1GHz) /쿼드(4)코어/,DDR4(온보드)/램 용량:8GB/ 램 교체: 불가능 /,내장그래픽 /UHD 600/,M.2(SATA)/250GB/저장 슬롯:1개/,무선랜:802.11ac(Wi-Fi 5)/,웹캠(HD)/,USB-C: 1개 / USB-A: 1개 / MicroSD카드 /,전용 펜 지원/USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/,배터리:47.12Wh/어댑터:24W/충전단자:DC/,두께:16mm/무게:1.3kg/ 색상: 그레이,
89,MSI GE시리즈 Raider GE78 HX 13VG-i9 QHD,"3,098,990",노트북,미포함(프리도스),43.1cm(17인치)/2560x1600(WQXGA)/400nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13950HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 2개 / USB-A: 2개 / SD카드 /,얼굴 인식/ 웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:99.9Wh/어댑터:280W/충전단자:전용포트/,두께:23mm/무게:3.1kg/ 쿨링팬: 2개 / 색상: 블랙,
90,MSI GF시리즈 Thin GF63 12VE-i5 WIN11 32GB램,"1,158,420",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i5-12세대/i5-12450H (2.0GHz)/옥타코어(4P+4E)/,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:52.4Wh/어댑터:120W/충전단자:DC/,두께:21.7mm/무게:1.77kg/ 색상: 블랙,
91,레노버 아이디어패드 Slim3-15ITL i7,"599,000",노트북,미포함(프리도스),39.62cm(15.6인치)/1920x1080(FHD)/300nit/,인텔/코어i7-11세대/i7-1165G7 (2.8GHz)/쿼드(4)코어/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능(1슬롯) /,내장그래픽 / Iris Xe /,M.2(NVMe)/256GB/,무선랜:802.11ax(Wi-Fi 6)/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 / SD카드 /,웹캠OFF 지원 /,키보드 라이트/ㅡ형 방향키/숫자 키패드(4열)/,배터리:45Wh/충전단자:DC/,두께:19.9mm/무게:1.65kg/ 색상: 그레이,
92,MSI 크리에이터 M16 A12UC,"1,299,000",노트북,미포함(프리도스),40.6cm(16인치)/2560x1600(WQXGA)/500nit/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,지문 인식/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:180W/충전단자:DC/,두께:23.95mm/무게:2.26kg/ 색상: 블랙,
93,레노버 요가 Slim7 Carbon13ITL5 82EV0049KR,"1,349,000",노트북,윈도우10,33.7cm(13인치)/2560x1600(WQXGA)/300nit/,인텔/코어i7-11세대/i7-1165G7 (2.8GHz)/쿼드(4)코어/,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/1TB/,무선랜:802.11ax(Wi-Fi 6)/,웹캠/,썬더볼트4:2개(USB-C겸용)/,얼굴 인식/고속충전/USB-PD/MIL-STD/,키보드 라이트/ㅡ형 방향키/,배터리:50Wh/충전단자:타입C/,두께:15mm/무게:970g/ 색상: 화이트,
94,MSI 크리에이터 Z17 A12UGST W11,"2,842,840",노트북,윈도우11프로,43.18cm(17인치)/2560x1600(WQXGA)/400nit/주사율:165Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:90W/VRAM:8GB/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 1개 / SD카드 /,얼굴 인식/지문 인식/TPM/전용 펜 지원/USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:90Wh/어댑터:240W/충전단자:전용포트/,두께:19mm/무게:2.49kg/ 색상: 그레이,
95,MSI GP시리즈 Vector GP77 13VG-i9 QHD WIN11 64GB램,"2,964,940",노트북,윈도우11(설치),43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900H (2.6GHz)/ 14코어(6P+8E) /,DDR5/램 용량:64GB/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:65Wh/어댑터:240W/충전단자:전용포트/,두께:25.9mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
96,한성컴퓨터 Bossmonster GTX73 N9X6Q24W,"1,938,000",노트북,윈도우11홈,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.0/mini DP/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / MicroSD카드 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:73Wh/어댑터:280W/충전단자:DC/,두께:27.8mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
97,Razer Blade 14 R9 Zen4 R3070Ti QHD Mercury,"2,989,990",노트북,윈도우11홈,35.56cm(14인치)/2560x1440(QHD)/주사율:165Hz/,AMD/라이젠9-5세대/6900HX (3.3GHz)/옥타(8)코어/,DDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,외장그래픽 /RTX3070 Ti/TGP:100W/VRAM:8GB/,M.2(NVMe)/1TB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(FHD)/,USB-C: 2개 / USB-A: 2개 /,얼굴 인식/TPM/USB-PD/DP Alt Mode/,RGB 라이트/ㅡ형 방향키/,배터리:61.6Wh/어댑터:230W/충전단자:전용포트/,두께:16.8mm/무게:1.78kg/ 쿨링팬: 2개 / 색상: 화이트,
98,삼성전자 갤럭시북3 프로360 NT960QFG-KC71G,"2,161,740",2 in 1,윈도우11홈,40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,인텔/코어i7-13세대/i7-1360P (2.2GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 1개 / MicroSD카드 /,지문인식(전원버튼) /TPM/전용 펜 지원/ 전용 펜 포함 /USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:76Wh/어댑터:65W/충전단자:타입C/,두께:12.8mm/무게:1.66kg/ 색상: 그라파이트,
99,MSI 모던시리즈 모던14 C5M-R5,"525,250",노트북,미포함(프리도스),35.5cm(14인치)/1920x1080(FHD)/300nit/,AMD/라이젠5-4세대/5625U (2.3GHz)/헥사(6)코어/,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/512GB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 / MicroSD카드 /,USB-PD/ 리프트 힌지 /,키보드 라이트/ㅗ형 방향키/,배터리:39.3Wh/어댑터:65W/충전단자:DC/,두께:19.35mm/무게:1.4kg/ 색상: 블랙,
100,Razer Blade 16 13Gen R4090 4K Dual,"6,390,000",노트북,윈도우11홈,40.8cm(16인치)/3840x2400(4K UHD)/1000nit/주사율:120Hz/,인텔/코어i9-13세대/i9-13950HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:32GB/5600MHz/ 램 교체: 가능 /,외장그래픽 /RTX4090/TGP:175W/VRAM:16GB/,M.2(NVMe)/2TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 3개 / SD카드 /,얼굴 인식/TPM/ 웹캠OFF 지원 /USB-PD/,RGB 라이트/ㅡ형 방향키/,배터리:95.2Wh/어댑터:330W/충전단자:전용포트/,"두께:21.99mm/무게:2.45kg/ 쿨링팬: 2개 / 색상: 블랙 / *특이사항: 해상도,주사율 변경 가능 (FHD/240Hz)",
101,한성컴퓨터 Bossmonster GTX73 N9X7Q24W,"2,230,000",노트북,윈도우11홈,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.0/mini DP/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / MicroSD카드 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:73Wh/어댑터:280W/충전단자:DC/,두께:27.8mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
102,MSI GF시리즈 Thin GF63 12VE-i5 32GB램,"1,144,000",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i5-12세대/i5-12450H (2.0GHz)/옥타코어(4P+4E)/,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:52.4Wh/어댑터:120W/충전단자:DC/,두께:21.7mm/무게:1.77kg/ 색상: 블랙,
